Party	1918	1922	1923	1924	1929	1931	1935	1945	1950	1951	1955	1959	1964	1966	1970	1974	1974	1979	1983	1987	1992	1997	2001	2005	2010	2015	2017
CON2	3.85	5.39	5.40	7.40	8.30	13.01	11.76	9.58	12.12	13.44	12.84	13.31	11.58	11.05	12.72	11.83	10.43	13.70	13.01	13.74	14.05	9.59	8.34	8.78	10.70	11.29	13.63
LAB 	2.25	4.24	4.44	5.49	8.37	6.64	8.33	11.90	13.20	13.89	12.37	12.17	12.10	12.99	12.08	11.65	11.46	11.51	8.46	10.03	11.56	13.52	10.72	9.55	8.61	9.35	12.88
LD3	    2.79	4.14	4.30	2.93	5.21	1.48	1.44	2.25	2.62	0.73	0.72	1.64	3.08	2.30	2.11	6.06	5.35	4.31	7.78	7.34	6.00	5.24	4.81	5.99	6.84	2.42	2.37
PC/SNP	Null	Null	Null	Null	0.00	0.02	0.03	0.05	0.03	0.02	0.06	0.10	0.13	0.19	0.48	0.80	1.01	0.64	0.46	0.54	0.78	0.78	0.66	0.59	0.66	1.64	1.14
Other 	0.86	0.41	0.17	0.30	0.25	0.23	0.44	0.59	0.25	0.05	0.12	0.07	0.12	0.14	0.17	0.28	0.25	0.37	0.20	0.15	0.44	1.36	1.02	1.52	2.21	5.29	1.37
Total	9.75	14.18	14.31	16.12	22.14	21.37	22.00	24.38	28.21	28.13	26.11	27.29	27.02	26.67	27.57	30.62	28.49	30.53	29.91	31.80	32.83	30.50	25.56	26.43	29.01	29.98	31.39
